[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202252.491251150] [combined_odometry_publisher]: timestamp: 1739202252397841, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8074181421139656, roll: -0.023283636298363292, yaw: 2.1091890602889896
[INFO] [1739202252.541265337] [combined_odometry_publisher]: timestamp: 1739202252397841, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8073846251442012, roll: -0.023219168838664785, yaw: 2.1092679553265685
[INFO] [1739202252.591251336] [combined_odometry_publisher]: timestamp: 1739202252521842, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807341170197733, roll: -0.02333780129410295, yaw: 2.109038802002094
[INFO] [1739202252.641270579] [combined_odometry_publisher]: timestamp: 1739202252521842, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807249369350588, roll: -0.023500766116388114, yaw: 2.1088798630371475
[INFO] [1739202252.691238315] [combined_odometry_publisher]: timestamp: 1739202252646843, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072256182648367, roll: -0.023453227627666603, yaw: 2.109031236095296
[INFO] [1739202252.741235482] [combined_odometry_publisher]: timestamp: 1739202252646843, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807169663816105, roll: -0.023347957494602428, yaw: 2.1092079384400204
[INFO] [1739202252.791233759] [combined_odometry_publisher]: timestamp: 1739202252646843, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071761896057256, roll: -0.02335097790900665, yaw: 2.1092133580505292
[INFO] [1739202252.841188994] [combined_odometry_publisher]: timestamp: 1739202252771867, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072347050568021, roll: -0.02342580017116454, yaw: 2.109126681358864
[INFO] [1739202252.891302305] [combined_odometry_publisher]: timestamp: 1739202252771867, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071838503117175, roll: -0.023567970907436266, yaw: 2.1089431713397073
[INFO] [1739202252.941283487] [combined_odometry_publisher]: timestamp: 1739202252771867, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072052644285282, roll: -0.023619105476182303, yaw: 2.108924141457556
[INFO] [1739202252.991317399] [combined_odometry_publisher]: timestamp: 1739202252909844, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071521397425163, roll: -0.023474549701640902, yaw: 2.108986141182049
[INFO] [1739202253.041253256] [combined_odometry_publisher]: timestamp: 1739202252909844, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070803333899195, roll: -0.023363599321256513, yaw: 2.1090853657585105
[INFO] [1739202253.091347818] [combined_odometry_publisher]: timestamp: 1739202253022840, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807013223226617, roll: -0.02343145653152138, yaw: 2.109089648256112
[INFO] [1739202253.141255244] [combined_odometry_publisher]: timestamp: 1739202253022840, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070405138327256, roll: -0.023555779630804127, yaw: 2.1089767820042113
[INFO] [1739202253.191315597] [combined_odometry_publisher]: timestamp: 1739202253146858, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071390806733021, roll: -0.023574595731575138, yaw: 2.108969779574422
[INFO] [1739202253.241279883] [combined_odometry_publisher]: timestamp: 1739202253146858, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070559772433596, roll: -0.02351782775639002, yaw: 2.109073437941423
[INFO] [1739202253.291266597] [combined_odometry_publisher]: timestamp: 1739202253146858, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8068977957411265, roll: -0.02345831851270533, yaw: 2.1091706649209403
[INFO] [1739202253.341287186] [combined_odometry_publisher]: timestamp: 1739202253272063, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069838195037455, roll: -0.02345027260046978, yaw: 2.1092052813974926
[INFO] [1739202253.391323592] [combined_odometry_publisher]: timestamp: 1739202253272063, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8069893821727926, roll: -0.023487854107522473, yaw: 2.1091508957889276
[INFO] [1739202253.441357849] [combined_odometry_publisher]: timestamp: 1739202253272063, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070265586698069, roll: -0.023527252059883007, yaw: 2.1090796110070262
[INFO] [1739202253.491368863] [combined_odometry_publisher]: timestamp: 1739202253398328, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071052420268019, roll: -0.023577118353011607, yaw: 2.1090701874783244
